Method,Seed,FixedIteration,NRMSE,PSNRdB,SupportSpectrumError,PoissonNLL,ElapsedSeconds
RL,2,4,0.632209466181239,33.4396937564156,0.453889012168833,15528.0110836827,0.0467293
RL,5,4,0.640297578678843,33.3292764524152,0.45814580681351,14308.5709310508,0.0520211
RL,13,4,0.646408351392294,33.2467744677685,0.465031077899862,14477.993023473,0.0478203
RL,17,4,0.633285729330554,33.4249196107318,0.451881556997386,13877.8857051697,0.052326
RL,23,4,0.640542929706494,33.3259488062935,0.45777632545828,13520.8313363967,0.0520541
RL,31,4,0.635297037756951,33.3973770362756,0.457272214851814,14118.4015856438,0.0518265
RL,43,4,0.638034890603966,33.3600250720439,0.455583889526164,14954.1041150783,0.0449627
RL,59,4,0.638211783425656,33.3576172749179,0.45435656857422,13993.2600368157,0.0442233
RL,73,4,0.641909717504619,33.3074346373785,0.457893321450467,15066.1414341277,0.0460274
RL,89,4,0.636790744618693,33.3769787916021,0.453419148692621,13835.5235317691,0.0411316
RL,101,4,0.63998506043775,33.3335169207663,0.455820563817566,14424.7339233339,0.0471578
RL,127,4,0.647193955561178,33.2362245917946,0.466848103225038,13344.554346685,0.0473454
OMW,2,4,0.631475903384111,33.4497779852398,0.416333211247851,14736.5148123513,0.0516913
OMW,5,4,0.638635279277489,33.3518555224364,0.423487698126979,13642.5729058618,0.0450682
OMW,13,4,0.612784834665645,33.7107534679454,0.398829646326288,13678.7029303314,0.0470435
OMW,17,4,0.613949467280518,33.6942611054433,0.406284672705,13030.7214799221,0.0507831
OMW,23,4,0.605737866047209,33.8112191778922,0.398719237969064,12759.0294620816,0.049156
OMW,31,4,0.63530282130844,33.3972979629315,0.42161224223181,13373.2484033747,0.0451852
OMW,43,4,0.616587533928093,33.6570188431778,0.402511082332636,14144.5842116261,0.046286
OMW,59,4,0.616652938100218,33.6560975412348,0.404099872561064,13152.8196186205,0.0453287
OMW,73,4,0.639304503354876,33.3427583692063,0.422703617193106,14323.9883021583,0.0443551
OMW,89,4,0.61231744032084,33.7173810548439,0.404205476373393,13191.5601100441,0.0435263
OMW,101,4,0.614965698859209,33.6798957894402,0.396273240454372,13590.4683556837,0.0438946
OMW,127,4,0.596556886715117,33.9438763705515,0.393407537266205,12450.2606942774,0.0515372
Damped Newton,2,4,0.686331347559586,32.7262369358055,0.5087736757291,16070.0397386016,1.4057453
Damped Newton,5,4,0.694152736803224,32.6278128373572,0.512641129508114,14899.6767288323,1.4066102
Damped Newton,13,4,0.697985529865491,32.579985258076,0.517402059632731,14997.9122366088,1.425606
Damped Newton,17,4,0.686749570996704,32.7209457068879,0.503857608460915,14425.9263864002,1.4644004
Damped Newton,23,4,0.694133014681712,32.6280596225321,0.512883494796765,14059.6907777585,1.5559144
Damped Newton,31,4,0.688814030373824,32.6948739501806,0.509498092199889,14616.2631746142,1.417284
Damped Newton,43,4,0.690454160522284,32.6742166244041,0.5064734209887,15421.2750726311,1.3863997
Damped Newton,59,4,0.691118805653102,32.665859433229,0.50892337323121,14499.9890296632,1.3935005
Damped Newton,73,4,0.695653826896485,32.6090500709444,0.513067236237132,15640.7622740359,1.3974297
Damped Newton,89,4,0.689826222682864,32.6821196551438,0.506778596370557,14378.6662030962,1.3725861
Damped Newton,101,4,0.690950749844038,32.6679717932213,0.5063860757875,14961.0742687559,1.3956112
Damped Newton,127,4,0.697761358974666,32.5827753393577,0.516950377093288,13879.8188315067,1.4283782
Log-SGD,2,4,0.644914145273765,33.2668755893208,0.455170816697717,16341.5772607444,0.1024678
Log-SGD,5,4,0.645531458565306,33.2585654125641,0.456489562749193,15111.5772781958,0.1152534
Log-SGD,13,4,0.63903571387796,33.3464110365249,0.457941968007387,15282.0584207012,0.1065895
Log-SGD,17,4,0.579518152000788,34.1955727680993,0.398989647988565,14384.0151787084,0.1006733
Log-SGD,23,4,0.640341788360334,33.3286767513213,0.452680456312348,14327.593244726,0.1097838
Log-SGD,31,4,0.578601010424503,34.209329888157,0.403686209964552,14590.2747730737,0.1039913
Log-SGD,43,4,0.644804268018803,33.2683555739484,0.457721359238261,15797.9957169056,0.1022231
Log-SGD,59,4,0.634512988406791,33.4081033132011,0.450891788615418,14801.3052297944,0.1046079
