Q,Alpha,Gamma,TVWeight,BestIteration,BestNRMSE,BestPSNRdB,BestSpectrumError,FinalPoissonNLL
0.4,0.0005,1.2,0,27,0.487433525965623,35.6986057046456,0.301498737583769,11490.4310313133
0.4,0.001,1.2,0,27,0.488710588089241,35.6758786772826,0.302228483630493,11496.5468504901
0.4,0.004,1.2,0,29,0.489722083565101,35.6579198714145,0.30303501475861,11526.2395432827
0.4,0.002,1.2,0,27,0.49021427909846,35.6491944957564,0.30343377237879,11505.8866855248
0.5,0.004,1.2,0,29,0.495031080773998,35.564264299065,0.309338285393171,11470.4288375535
0.5,0.002,1.2,0,25,0.496123112076868,35.5451244572834,0.308833874028875,11458.0627449726
0.5,0.0005,1.2,0,27,0.496484749993424,35.5387953775105,0.311008708163045,11446.7656746941
0.5,0.001,1.2,0,29,0.497737886753526,35.5168996512188,0.312212132557511,11444.9051586152
0.5,0.0005,1,0,30,0.504976697729669,35.3914868836135,0.329700437059543,11337.6583344204
0.5,0.001,1,0,30,0.505232524896526,35.3870876234692,0.329231212201086,11348.3413022941
0.5,0.002,1,0,30,0.505671984494276,35.3795357770358,0.328615747186797,11365.4368776794
0.5,0.004,1,0,30,0.506457019959766,35.3660617381482,0.327953049546237,11391.5054006383
0.6,0.004,1,0,29,0.50674196730261,35.3611761800911,0.33101824151383,11315.8271006947
0.6,0.002,1,0,27,0.506848861392061,35.3593441385196,0.330834289560017,11300.5925813957
0.6,0.004,1.2,0,23,0.50708055544004,35.3553744954021,0.313700669082458,11469.585924499
0.4,0.0005,1,0,30,0.507139472067029,35.3543653587126,0.326283099515298,11456.8386991734
0.6,0.001,1,0,27,0.507291300732475,35.3517653448385,0.331629379264748,11288.3438877143
0.4,0.001,1,0,30,0.507682319811184,35.3450728581308,0.326327711898013,11465.9455465047
0.6,0.0005,1,0,23,0.507858708986,35.3420555562636,0.330036384093824,11288.0742137158
0.6,0.002,1.2,0,29,0.508132556774619,35.3373732094614,0.316439805096803,11465.3617307795
0.4,0.002,1,0,30,0.508541869185292,35.3303793429336,0.326469443037458,11480.7339810667
0.4,0.004,1,0,30,0.50987826983238,35.3075835737795,0.326841542081869,11503.4033477407
0.6,0.001,1.2,0,29,0.511588633785052,35.2784959031654,0.317617341177515,11471.863376859
0.6,0.0005,1.2,0,29,0.513215943309882,35.2509108530286,0.319676610134706,11432.090149903
0.5,0.002,1,0,12,0.519957120870387,35.1375630369021,0.330924977029938,11707.274196494
0.6,0.0005,0.8,0,30,0.5224513481912,35.0959965584454,0.351723198205462,11252.0756892013
0.6,0.001,0.8,0,30,0.522754750023401,35.0909538880878,0.351257592111614,11263.3768167164
0.6,0.002,0.8,0,30,0.523286741169457,35.082119024805,0.350665953069522,11281.2153406137
0.6,0.004,0.8,0,30,0.524238571824103,35.0663342066374,0.350053111949608,11308.5352304265
1,0.01,1,0,1,0.525036704397737,35.0531203380841,0.330817368394499,11631.7563503625
0.5,0.0005,0.8,0,30,0.525337986836803,35.0481375331685,0.349873240848863,11348.2394936417
0.5,0.001,0.8,0,30,0.525897229278332,35.0388959885325,0.349797296683228,11359.2991970534
0.5,0.002,0.8,0,30,0.526807458055315,35.0238753492825,0.349794811003465,11377.0107478672
